msgtype,time,raw
GPS,2026-03-31T16:15:17.0001900+03:00,"GPS;74214190;0;6;220535000;2412;10;1.21;-35.365411;149.1652294;965.48;50.742;180.17308;-58.728004;0;1"
GPS,2026-03-31T16:15:17.2001230+03:00,"GPS;74414123;0;6;220535200;2412;10;1.21;-35.3655021;149.1652291;977.03;50.693;180.17288;-56.788002;0;1"
GPS,2026-03-31T16:15:17.4000559+03:00,"GPS;74614056;0;6;220535400;2412;10;1.21;-35.3655931;149.1652288;988.19;50.645004;180.17268;-54.848003;0;1"
GPS,2026-03-31T16:15:17.5999879+03:00,"GPS;74813988;0;6;220535600;2412;10;1.21;-35.3656843;149.1652284;998.99;50.599003;180.17249;-52.903004;0;1"
GPS,2026-03-31T16:15:17.8009210+03:00,"GPS;75014921;0;6;220535800;2412;10;1.21;-35.3657754;149.165228;1009.4;50.555004;180.17216;-50.958004;0;1"
GPS,2026-03-31T16:15:18.0008540+03:00,"GPS;75214854;0;6;220536000;2412;10;1.21;-35.3658662;149.1652277;1019.4;50.509003;180.17221;-49.021004;0;1"
GPS,2026-03-31T16:15:18.2007869+03:00,"GPS;75414787;0;6;220536200;2412;10;1.21;-35.3659569;149.1652274;1029.01;50.460003;180.17273;-47.085003;0;1"
GPS,2026-03-31T16:15:18.4007189+03:00,"GPS;75614719;0;6;220536400;2412;10;1.21;-35.3660474;149.165227;1038.23;50.411003;180.17429;-45.151;0;1"
GPS,2026-03-31T16:15:18.6006520+03:00,"GPS;75814652;0;6;220536600;2412;10;1.21;-35.366138;149.1652267;1047.07;50.361004;180.17609;-43.219;0;1"
GPS,2026-03-31T16:15:18.8005850+03:00,"GPS;76014585;0;6;220536800;2412;10;1.21;-35.3662285;149.1652264;1055.52;50.309002;180.1768;-41.289;0;1"
GPS,2026-03-31T16:15:19.0005179+03:00,"GPS;76214518;0;6;220537000;2412;10;1.21;-35.3663188;149.165226;1063.58;50.249;180.17685;-39.357002;0;1"
GPS,2026-03-31T16:15:19.2004510+03:00,"GPS;76414451;0;6;220537200;2412;10;1.21;-35.3664089;149.1652257;1071.26;50.140003;180.17828;-37.395;0;1"
GPS,2026-03-31T16:15:19.4003830+03:00,"GPS;76614383;0;6;220537400;2412;10;1.21;-35.3664989;149.1652254;1078.54;50.023003;180.18265;-35.432003;0;1"
GPS,2026-03-31T16:15:19.6003160+03:00,"GPS;76814316;0;6;220537600;2412;10;1.21;-35.3665887;149.165225;1085.42;49.954002;180.18744;-33.506;0;1"
GPS,2026-03-31T16:15:19.8002489+03:00,"GPS;77014249;0;6;220537800;2412;10;1.21;-35.3666784;149.1652246;1091.94;49.897003;180.19069;-31.590002;0;1"
GPS,2026-03-31T16:15:20.0001820+03:00,"GPS;77214182;0;6;220538000;2412;10;1.21;-35.366768;149.1652242;1098.07;49.836002;180.19403;-29.678001;0;1"
GPS,2026-03-31T16:15:20.2001150+03:00,"GPS;77414115;0;6;220538200;2412;10;1.21;-35.3668575;149.1652239;1103.81;49.771004;180.19815;-27.774002;0;1"
GPS,2026-03-31T16:15:20.4000470+03:00,"GPS;77614047;0;6;220538400;2412;10;1.21;-35.3669469;149.1652234;1109.17;49.703003;180.20287;-25.876001;0;1"
GPS,2026-03-31T16:15:20.5999799+03:00,"GPS;77813980;0;6;220538600;2412;10;1.21;-35.3670363;149.1652231;1114.16;49.63;180.20804;-23.982;0;1"
GPS,2026-03-31T16:15:20.8009130+03:00,"GPS;78014913;0;6;220538800;2412;10;1.21;-35.3671257;149.1652227;1118.79;49.544003;180.21103;-22.098001;0;1"
GPS,2026-03-31T16:15:21.0008450+03:00,"GPS;78214845;0;6;220539000;2412;10;1.21;-35.3672145;149.1652222;1123.02;49.403004;180.21672;-20.211;0;1"
GPS,2026-03-31T16:15:21.2007780+03:00,"GPS;78414778;0;6;220539200;2412;10;1.21;-35.3673031;149.1652219;1126.87;49.215004;180.23119;-18.335001;0;1"
GPS,2026-03-31T16:15:21.4007109+03:00,"GPS;78614711;0;6;220539400;2412;10;1.21;-35.3673914;149.1652214;1130.35;49.029003;180.24315;-16.489;0;1"
GPS,2026-03-31T16:15:21.6006440+03:00,"GPS;78814644;0;6;220539600;2412;10;1.21;-35.3674793;149.165221;1133.47;48.845;180.25288;-14.676001;0;1"
GPS,2026-03-31T16:15:21.8005770+03:00,"GPS;79014577;0;6;220539800;2412;10;1.21;-35.3675669;149.1652205;1136.23;48.649002;180.27025;-12.906;0;1"
GPS,2026-03-31T16:15:22.0005090+03:00,"GPS;79214509;0;6;220540000;2412;10;1.21;-35.367654;149.1652199;1138.63;48.433002;180.29004;-11.182;0;1"
GPS,2026-03-31T16:15:22.2004419+03:00,"GPS;79414442;0;6;220540200;2412;10;1.21;-35.3677409;149.1652194;1140.7;48.209003;180.29759;-9.490001;0;1"
GPS,2026-03-31T16:15:22.4003750+03:00,"GPS;79614375;0;6;220540400;2412;10;1.21;-35.3678273;149.1652189;1142.43;47.981003;180.3156;-7.8410006;0;1"
GPS,2026-03-31T16:15:22.6003080+03:00,"GPS;79814308;0;6;220540600;2412;10;1.21;-35.3679133;149.1652183;1143.84;47.757004;180.35121;-6.2400002;0;1"
GPS,2026-03-31T16:15:22.8002409+03:00,"GPS;80014241;0;6;220540800;2412;10;1.21;-35.367999;149.1652176;1144.92;47.541;180.3825;-4.6470003;0;1"
GPS,2026-03-31T16:15:23.0001729+03:00,"GPS;80214173;0;6;220541000;2412;10;1.21;-35.3680842;149.1652169;1145.7;47.334003;180.43927;-3.075;0;1"
GPS,2026-03-31T16:15:23.2001060+03:00,"GPS;80414106;0;6;220541200;2412;10;1.21;-35.368169;149.1652159;1146.16;47.139004;180.51697;-1.5430001;0;1"
GPS,2026-03-31T16:15:23.4000390+03:00,"GPS;80614039;0;6;220541400;2412;10;1.21;-35.3682535;149.165215;1146.31;46.955;180.58623;-0.015000001;0;1"
GPS,2026-03-31T16:15:23.5999719+03:00,"GPS;80813972;0;6;220541600;2412;10;1.21;-35.3683379;149.1652138;1146.16;46.781002;180.67061;1.496;0;1"
GPS,2026-03-31T16:15:23.8009039+03:00,"GPS;81014904;0;6;220541800;2412;10;1.21;-35.368422;149.1652125;1145.71;46.622;180.76001;2.9670002;0;1"
GPS,2026-03-31T16:15:24.0008370+03:00,"GPS;81214837;0;6;220542000;2412;10;1.21;-35.3685057;149.1652111;1144.97;46.476;180.83084;4.4300003;0;1"
GPS,2026-03-31T16:15:24.2007700+03:00,"GPS;81414770;0;6;220542200;2412;10;1.21;-35.368589;149.1652096;1143.94;46.344;180.91794;5.874;0;1"
GPS,2026-03-31T16:15:24.4007029+03:00,"GPS;81614703;0;6;220542400;2412;10;1.21;-35.3686722;149.1652078;1142.63;46.229004;181.01659;7.2770004;0;1"
GPS,2026-03-31T16:15:24.6006349+03:00,"GPS;81814635;0;6;220542600;2412;10;1.21;-35.3687551;149.1652059;1141.03;46.128002;181.10269;8.676001;0;1"
GPS,2026-03-31T16:15:24.8005680+03:00,"GPS;82014568;0;6;220542800;2412;10;1.21;-35.3688379;149.1652039;1139.15;46.042004;181.20392;10.059;0;1"
GPS,2026-03-31T16:15:25.0005010+03:00,"GPS;82214501;0;6;220543000;2412;10;1.21;-35.3689205;149.1652017;1137.01;45.977;181.31105;11.397;0;1"
GPS,2026-03-31T16:15:25.2004339+03:00,"GPS;82414434;0;6;220543200;2412;10;1.21;-35.3690031;149.1651993;1134.59;45.926003;181.3988;12.731001;0;1"
GPS,2026-03-31T16:15:25.4003670+03:00,"GPS;82614367;0;6;220543400;2412;10;1.21;-35.3690856;149.1651967;1131.91;45.891003;181.50305;14.048;0;1"
GPS,2026-03-31T16:15:25.6002990+03:00,"GPS;82814299;0;6;220543600;2412;10;1.21;-35.369168;149.1651939;1128.97;45.88;181.61693;15.321001;0;1"
GPS,2026-03-31T16:15:25.8002320+03:00,"GPS;83014232;0;6;220543800;2412;10;1.21;-35.3692504;149.165191;1125.78;45.883003;181.71208;16.59;0;1"
